company_id,employee_count,follower_count,time_recorded
1668,57998,193202,1713564054
1670,12475,111678,1713472368
1673,12398,1561306,1713458777
1677,63792,460389,1712645324
1678,7511,170054,1713394964
1680,313972,7245503,1713566526
1681,29173,3038626,1713533586
1689,60605,2983617,1712856252
1691,44361,1092251,1713459585
1694,54981,7640586,1713388316
1703,58143,589468,1713570046
1714,27886,1030065,1713460251
1756,261603,6105936,1713532611
1760,27702,836651,1713562725
1762,37475,2055803,1713541112
1767,36866,569327,1713471531
1773,37540,1384562,1713562004
1784,35599,4342804,1713562205
1789,1910,35166,1713477294
1790,8318,211151,1713408053
1792,25987,1202105,1713474528
1799,65757,2741097,1713557291
1808,92802,718336,1713565751
1818,69064,4240559,1713481417
1827,3550,260923,1713462994
1828,57820,1049432,1713460651
1833,3106,2886752,1713214492
1835,56241,341670,1713562927
1841,92649,1907472,1713554357
1852,28863,339468,1713554687
1855,31371,321395,1713540893
1864,69608,2153397,1713453772
1869,371,22146,1712860411
1874,28078,608662,1713561679
1879,14664,798457,1713462516
1881,15799,293036,1713524019
1885,2126,235077,1713392707
1893,92261,5376746,1713552370
1900,21030,455998,1713552037
1905,24587,235156,1713562137
1906,3351,70238,1713554555
1908,8768,151670,1713459518
1912,38969,1266705,1713562598
1926,10953,499669,1712863289
1927,3382,184135,1712858038
1928,2643,122870,1713471913
1929,22479,1745116,1713557235
1935,7835,332280,1713557052
1951,73902,1401601,1712657358
1956,13053,427506,1713571285
1970,48947,430999,1713503853
1995,5737,142123,1713407667
2003,41150,6462261,1713477809
2017,42618,1449435,1713568759
2018,26829,441692,1712382540
2019,13689,288269,1713471748
2029,71035,5597905,1713480755
2032,5580,52914,1713567368
2035,45233,139835,1713466540
2041,51016,1208398,1713563667
2046,6348,3061748,1713476861
2059,36464,620191,1713567335
2068,33769,1184752,1713458777
2078,23274,1753408,1713464073
2087,71838,1820077,1713415632
2089,2154,76242,1713492137
2090,1754,75025,1712347894
2092,1872,67985,1713470458
2096,7461,281828,1712347513
2105,12530,671485,1713455206
2107,18247,395637,1713472293
2114,21782,2007343,1713564188
2121,15331,152694,1713461783
2127,69018,470114,1713462381
2137,33872,816855,1713565445
2148,38150,586175,1712643546
2152,26749,914743,1713533030
2153,3292,260182,1713209339
2155,37229,994206,1713562725
2157,9727,359047,1713572427
2162,29911,617655,1713561875
2169,3363,149047,1713565055
2190,25502,1616627,1713567192
2192,48177,4283540,1713551435
2193,3924,57336,1713563061
2198,2775,143137,1713531201
2206,10202,323709,1713460451
